"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.997973900E-2,2.297058105E-1,1.208374023E0,9.774673462E0
1.099797390E-1,8.757781982E-1,6.891326904E-1,1.019342041E1
1.599797390E-1,2.512512207E-1,1.074371338E0,1.000199890E1
2.099797390E-1,5.503540039E-1,4.163513184E-1,9.982849121E0
2.599797390E-1,1.818542480E-1,7.393798828E-1,9.743576050E0
3.099797390E-1,-1.124572754E-1,9.714813232E-1,9.501892090E0
3.599797390E-1,1.292114258E-1,6.173553467E-1,9.911071777E0
4.099797390E-1,8.757781982E-1,9.092712402E-1,1.000917053E1
4.599797390E-1,7.656860352E-2,1.040878296E0,9.908676147E0
5.099797390E-1,4.570312500E-1,1.380661011E0,1.016232300E1
5.599797390E-1,1.000198364E0,9.403839111E-1,9.389434814E0
6.099797390E-1,3.421783447E-1,1.351943970E0,1.086341858E1
6.599797390E-1,-6.700134277E-2,1.966903687E0,9.320037842E0
7.099797390E-1,-3.111267090E-2,1.103088379E0,9.200408936E0
7.599797390E-1,1.531372070E-1,1.490722656E0,9.530609131E0
8.099797390E-1,3.421783447E-1,1.201202393E0,1.000917053E1
8.599797390E-1,1.746826172E-1,1.292129517E0,1.027478027E1
9.099797390E-1,-3.062744141E-1,1.887939453E0,9.549758911E0
9.599797390E-1,9.451599121E-1,2.141571045E0,1.016949463E1
1.009979739E0,4.642028809E-1,1.954940796E0,1.096391296E1
1.059979739E0,9.331970215E-1,2.256439209E0,9.820144653E0
1.109979739E0,3.062744141E-1,2.751739502E0,9.597610474E0
1.159979739E0,3.493499756E-1,2.624923706E0,9.573684692E0
1.209979739E0,8.063812256E-1,2.723037720E0,1.016471863E1
1.259979739E0,8.422698975E-1,2.600997925E0,1.055235291E1
1.309979739E0,1.593612671E0,2.000396729E0,1.113619995E1
1.359979739E0,9.260253906E-1,4.187469482E-1,1.189710999E1
1.409979739E0,1.016952515E0,1.026519775E0,1.036810303E1
1.459979739E0,9.308013916E-1,1.299301147E0,9.698104858E0
1.509979739E0,9.092712402E-1,1.268188477E0,8.767303467E0
1.559979739E0,8.183441162E-1,1.344772339E0,8.109283447E0
1.609979739E0,3.732757568E-1,1.445266724E0,8.417953491E0
1.659979739E0,6.723785400E-1,1.801788330E0,8.099700928E0
1.709979739E0,2.201385498E-1,1.540985107E0,1.017428589E1
1.759979739E0,8.255310059E-1,2.275573730E0,1.027957153E1
1.809979739E0,3.038940430E-1,1.782653809E0,1.195214844E1
1.859979739E0,4.307098389E-1,2.108078003E0,1.216511536E1
1.909979739E0,2.297058105E-1,4.689941406E-1,1.307916260E1
1.959979739E0,-8.877410889E-1,7.657012939E-1,8.748153687E0
2.009979739E0,-9.332275391E-2,7.441711426E-1,9.815353394E0
2.059979739E0,-4.761657715E-1,1.292114258E-1,8.898910522E0
2.109979739E0,1.555328369E-1,9.020996094E-1,8.518447876E0
2.159979739E0,-5.312042236E-1,6.173553467E-1,9.047256470E0
2.209979739E0,-2.656097412E-1,1.184448242E0,8.956329346E0
2.259979739E0,-9.499511719E-1,1.488342285E0,8.827117920E0
2.309979739E0,-3.373870850E-1,1.653442383E0,1.089451599E1
2.359979739E0,-9.954071045E-1,1.287338257E0,1.094715881E1
2.409979739E0,-6.484527588E-1,1.052841187E0,1.208854675E1
2.459979739E0,-9.403839111E-1,1.062408447E0,1.162672424E1
2.509979739E0,5.192413330E-1,1.100769043E-1,1.166979980E1
2.559979739E0,-1.284942627E0,-1.435699463E-1,1.012641907E1
2.609979739E0,5.264282227E-2,5.144500732E-1,8.118850708E0
2.659979739E0,-2.273254395E-1,4.618072510E-1,8.994613647E0
2.709979739E0,-3.349914551E-1,1.122238159E0,7.532608032E0
2.759979739E0,-7.202453613E-1,1.158126831E0,7.881958008E0
2.809979739E0,2.464599609E-1,1.392623901E0,9.123840332E0
2.859979739E0,-2.727813721E-1,1.452438354E0,1.086102295E1
2.909979739E0,-2.584228516E-1,1.526626587E0,1.211486816E1
2.959979739E0,9.571838379E-2,1.651046753E0,1.226560974E1
3.009979739E0,-1.507415771E-1,4.498443604E-1,1.094477844E1
3.059979739E0,-1.466796875E0,-3.110656738E-1,1.184208679E1
3.109979739E0,-7.920227051E-1,4.115600586E-1,7.793426514E0
3.159979739E0,-1.478759766E0,8.613586426E-2,9.016159058E0
3.209979739E0,-6.053771973E-1,5.431671143E-1,8.379669189E0
3.259979739E0,-9.906311035E-1,4.905242920E-1,8.977874756E0
3.309979739E0,-6.508483887E-1,1.148559570E0,9.513870239E0
3.359979739E0,-9.092712402E-1,1.308868408E0,9.391830444E0
3.409979739E0,-4.833526611E-1,1.414154053E0,1.158364868E1
3.459979739E0,-5.981445312E-2,1.014556885E0,1.156211853E1
3.509979739E0,-4.115600586E-1,9.164581299E-1,1.214836121E1
3.559979739E0,2.392883301E-1,-1.435699463E-1,1.034417725E1
3.609979739E0,-9.236297607E-1,-2.895355225E-1,1.218185425E1
3.659979739E0,1.000198364E0,4.211425781E-1,8.293518066E0
3.709979739E0,-1.675415039E-2,4.977111816E-1,7.893920898E0
3.759979739E0,-7.202453613E-1,7.752685547E-1,8.099700928E0
3.809979739E0,-9.260253906E-1,1.445266724E0,8.286346436E0
3.859979739E0,0.000000000E0,1.713256836E0,9.111862183E0
3.909979739E0,-7.177734375E-2,1.607971191E0,1.003071594E1
3.959979739E0,9.809875488E-2,1.284942627E0,1.218664551E1
4.009979739E0,4.235229492E-1,1.500305176E0,1.163391113E1
4.059979739E0,-1.227523804E0,1.167694092E0,1.067677307E1
4.109979739E0,1.866455078E-1,2.632141113E-1,1.300019836E1
4.159979739E0,-1.378265381E0,1.026519775E0,6.649658203E0
4.209979739E0,-1.335189819E0,5.335998535E-1,9.580856323E0
4.259979739E0,-6.173553467E-1,5.072784424E-1,9.310470581E0
4.309979739E0,-1.040878296E0,1.057632446E0,7.738388062E0
4.359979739E0,-6.460571289E-1,1.296905518E0,8.271987915E0
4.409979739E0,-7.154541016E-1,1.344772339E0,9.444473267E0
4.459979739E0,-9.499511719E-1,1.560119629E0,1.007617188E1
4.509979739E0,-5.479583740E-1,1.036087036E0,1.243789673E1
4.559979739E0,-8.470611572E-1,1.160522461E0,1.243789673E1
4.609979739E0,9.332275391E-2,-7.824554443E-1,1.286141968E1
4.659979739E0,-3.110656738E-1,-1.579284668E-1,1.169132996E1
4.709979739E0,2.117645264E0,8.446655273E-1,7.039688110E0
4.759979739E0,-4.067840576E-1,5.958099365E-1,8.405990601E0
4.809979739E0,-5.264282227E-1,1.222732544E0,6.970291138E0
4.859979739E0,-8.709869385E-1,1.007385254E0,8.470596313E0
4.909979739E0,4.331054688E-1,1.438079834E0,9.729217529E0
4.959979739E0,-1.579284668E-1,1.263412476E0,1.129173279E1
5.009979739E0,-1.435699463E-1,7.346038818E-1,1.252163696E1
5.059979739E0,-4.809570312E-1,1.220336914E0,1.173200989E1
5.109979739E0,-2.392578125E-2,-1.179656982E0,1.489292908E1
5.159979739E0,-1.057632446E0,-7.656860352E-2,8.164306641E0
5.209979739E0,-2.895355225E-1,-5.743408203E-2,8.312667847E0
5.259979739E0,-5.718841553E-1,2.225341797E-1,8.109283447E0
5.309979739E0,-3.900299072E-1,9.188385010E-1,8.042282104E0
5.359979739E0,-7.226257324E-1,1.036087036E0,8.860626221E0
5.409979739E0,2.395629883E-3,1.311264038E0,1.036331177E1
5.459979739E0,-5.001068115E-1,1.380661011E0,1.046380615E1
5.509979739E0,-6.700134277E-2,5.814514160E-1,1.354098511E1
5.559979739E0,-5.288085938E-1,1.725219727E0,1.091366577E1
5.609979739E0,1.124633789E0,2.751770020E-1,1.189233398E1
5.659979739E0,-8.781585693E-1,-3.588867188E-2,1.066720581E1
5.709979739E0,6.293182373E-1,4.139556885E-1,7.941772461E0
5.759979739E0,-8.853149414E-2,8.542327881E-1,7.984848022E0
5.809979739E0,-6.676025391E-1,1.320831299E0,6.632904053E0
5.859979739E0,-6.484527588E-1,1.292129517E0,8.492126465E0
5.909979739E0,4.139556885E-1,1.844863892E0,9.896713257E0
5.959979739E0,-5.766754150E-1,8.853454590E-1,1.166261292E1
6.009979739E0,-1.627044678E-1,1.435852051E-2,1.584767151E1
6.059979739E0,9.451599121E-1,-1.531372070E-1,1.055712891E1
6.109979739E0,-2.021942139E0,-1.287338257E0,1.284706116E1
6.159979739E0,-4.283142090E-1,-2.153472900E-1,8.803192139E0
6.209979739E0,-1.268157959E-1,2.201385498E-1,7.939392090E0
6.259979739E0,-6.652069092E-1,5.072784424E-1,7.769500732E0
6.309979739E0,7.656860352E-2,1.287338257E0,7.860427856E0
6.359979739E0,-6.915283203E-1,1.624725342E0,1.002592468E1
6.409979739E0,-7.896423340E-2,1.385437012E0,1.051406860E1
6.459979739E0,1.962127686E-1,5.503540039E-1,1.170089722E1
6.509979739E0,-4.953155518E-1,-1.148529053E-1,1.361755371E1
6.559979739E0,1.052841187E0,3.780670166E-1,1.028195190E1
6.609979739E0,-3.445739746E-1,-6.173553467E-1,1.191146851E1
6.659979739E0,8.231353760E-1,1.842498779E-1,7.953735352E0
6.709979739E0,-2.991027832E-1,-1.052856445E-1,9.827316284E0
6.759979739E0,-5.144500732E-1,5.072784424E-1,7.941772461E0
6.809979739E0,-2.416687012E-1,1.383056641E0,7.427322388E0
6.859979739E0,-2.608184814E-1,1.241882324E0,8.425125122E0
6.909979739E0,2.464599609E-1,1.694122314E0,1.054995728E1
6.959979739E0,-6.006011963E-1,8.733825684E-1,1.256471252E1
7.009979739E0,7.800598145E-1,1.091125488E0,1.298345947E1
7.059979739E0,-1.378265381E0,1.100692749E0,9.233901978E0
7.109979739E0,4.331054688E-1,6.460571289E-2,1.190907288E1
7.159979739E0,-3.349914551E-1,-2.703857422E-1,8.891723633E0
7.209979739E0,-2.201385498E-1,5.072784424E-1,9.171691895E0
7.259979739E0,-1.866455078E-1,5.838470459E-1,8.858230591E0
7.309979739E0,-2.967071533E-1,1.385437012E0,8.420349121E0
7.359979739E0,-3.397827148E-1,1.505081177E0,8.571090698E0
7.409979739E0,-4.977111816E-1,1.158126831E0,1.130130005E1
7.459979739E0,-3.541412354E-1,9.930267334E-1,1.138505554E1
7.509979739E0,-6.221008301E-2,4.618072510E-1,1.254078674E1
7.559979739E0,-6.532440186E-1,3.780670166E-1,1.126062012E1
7.609979739E0,-4.187469482E-1,-1.038482666E0,1.307199097E1
7.659979739E0,-2.919311523E-1,-6.699829102E-1,9.418151855E0
7.709979739E0,1.476364136E0,2.153472900E-1,7.199996948E0
7.759979739E0,3.588867188E-2,8.805541992E-1,7.647460938E0
7.809979739E0,-8.135986328E-2,1.495513916E0,6.484542847E0
7.859979739E0,4.791259766E-3,1.500305176E0,9.209976196E0
7.909979739E0,4.570312500E-1,1.301696777E0,1.172721863E1
7.959979739E0,1.651000977E-1,1.375869751E0,1.212443542E1
8.009979739E0,3.182525635E-1,4.905242920E-1,1.367019653E1
8.059979739E0,-1.033706665E0,6.867370605E-1,1.060977173E1
8.109979739E0,-1.275375366E0,-3.780670166E-1,1.109072876E1
8.159979739E0,-1.450057983E0,-5.479583740E-1,6.953536987E0
8.209979739E0,3.732757568E-1,-4.833526611E-1,1.080598450E1
8.259979739E0,-1.316070557E-1,-3.254241943E-1,8.276779175E0
8.309979739E0,-3.086700439E-1,3.517456055E-1,8.161911011E0
8.359979739E0,-5.479583740E-1,7.154541016E-1,8.733810425E0
8.409979739E0,1.746826172E-1,1.105484009E0,1.109072876E1
8.459979739E0,-2.656097412E-1,6.532440186E-1,1.176789856E1
8.509979739E0,2.871398926E-1,9.571838379E-2,1.261975098E1
8.559979739E0,2.249298096E-1,-7.010955811E-1,1.043988037E1
8.609979739E0,-1.081558228E0,-1.299301147E0,1.129412842E1
8.659979739E0,9.044799805E-1,-6.795654297E-1,8.188232422E0
8.709979739E0,8.039855957E-1,-5.503845215E-2,8.985046387E0
8.759979739E0,-4.809570312E-1,3.828582764E-1,7.350753784E0
8.809979739E0,-2.751770020E-1,1.069595337E0,7.896316528E0
8.859979739E0,8.853149414E-2,9.164581299E-1,9.901504517E0
8.909979739E0,7.274169922E-1,1.024124146E0,1.127020264E1
8.959979739E0,1.124572754E-1,1.483612061E-1,1.399562073E1
9.009979739E0,7.896270752E-1,1.220397949E-1,1.419662476E1
9.059979739E0,-5.264282227E-1,-8.733825684E-1,9.772293091E0
9.109979739E0,-1.301696777E0,-1.529006958E0,1.123190308E1
9.159979739E0,-2.153015137E-2,-8.566284180E-1,9.042480469E0
9.209979739E0,-2.201385498E-1,9.809875488E-2,8.446670532E0
9.259979739E0,-1.435852051E-2,7.992095947E-1,6.606582642E0
9.309979739E0,1.028900146E-1,1.124633789E0,8.980270386E0
9.359979739E0,-1.818542480E-1,1.045669556E0,9.028121948E0
9.409979739E0,3.780670166E-1,9.619140625E-1,1.139941406E1
9.459979739E0,2.368927002E-1,3.014984131E-1,1.151904297E1
9.509979739E0,1.698913574E-1,-9.809875488E-2,1.356011963E1
9.559979739E0,1.653442383E0,-3.397827148E-1,9.889541626E0
9.609979739E0,-6.891326904E-1,-1.158126831E0,1.216511536E1
9.659979739E0,9.379882812E-1,1.866455078E-1,6.762115479E0
9.709979739E0,1.627044678E-1,2.656097412E-1,7.877166748E0
9.759979739E0,-6.173553467E-1,1.038482666E0,8.358123779E0
9.809979739E0,-9.331970215E-1,1.517044067E0,7.357925415E0
9.859979739E0,-2.919311523E-1,1.296905518E0,9.387039185E0
9.909979739E0,8.949127197E-1,9.547424316E-1,1.037049866E1
9.959979739E0,4.474639893E-1,-1.340026855E-1,1.439044189E1
1.000997974E1,-1.196441650E-1,6.580200195E-1,1.319403076E1
1.005997974E1,3.469543457E-1,-6.819610596E-1,1.303131104E1
1.010997974E1,-9.188385010E-1,-7.369842529E-1,9.690933228E0
1.015997974E1,-2.536315918E-1,-1.651000977E-1,7.668991089E0
1.020997974E1,-1.406982422E0,-5.886383057E-1,8.798416138E0
1.025997974E1,3.995971680E-1,8.159484863E-1,7.470397949E0
1.030997974E1,-1.289733887E0,6.436767578E-1,8.542373657E0
1.035997974E1,2.632141113E-1,7.369842529E-1,9.719650269E0
1.040997974E1,-5.264282227E-1,-3.182525635E-1,1.244746399E1
1.045997974E1,7.633056641E-1,-5.790557861E-1,1.275373840E1
1.050997974E1,-4.785614014E-1,-3.158569336E-1,1.360319519E1
1.055997974E1,7.848510742E-1,-1.818542480E-1,1.087059021E1
1.060997974E1,-9.619140625E-1,-8.111724854E-1,9.865615845E0
1.065997974E1,1.016952515E0,-1.675415039E-2,7.274185181E0
1.070997974E1,-4.402770996E-1,3.900299072E-1,8.405990601E0
1.075997974E1,-3.708801270E-1,1.222732544E0,5.802597046E0
1.080997974E1,-8.327026367E-1,1.349548340E0,7.357925415E0
1.085997974E1,8.901367188E-1,1.473983765E0,9.188446045E0
1.090997974E1,1.459655762E-1,5.981445312E-2,1.413201904E1
1.095997974E1,1.363983154E-1,-4.713897705E-1,1.357687378E1
1.100997974E1,-6.340942383E-1,4.791259766E-3,1.171525574E1
1.105997974E1,-8.805541992E-1,-1.196411133E0,1.433779907E1
1.110997974E1,-1.739578247E0,-9.571228027E-1,8.843872070E0
1.115997974E1,-5.024871826E-1,7.417297363E-2,8.310272217E0
1.120997974E1,7.656860352E-2,4.043884277E-1,6.240478516E0
1.125997974E1,-8.303070068E-1,8.159484863E-1,7.965713501E0
1.130997974E1,-9.954071045E-1,1.043273926E0,7.592422485E0
1.135997974E1,-5.407714844E-1,9.858398438E-1,1.004985046E1
1.140997974E1,-1.004943848E-1,9.571838379E-2,1.169851685E1
1.145997974E1,2.536315918E-1,-6.388854980E-1,1.356011963E1
1.150997974E1,9.308013916E-1,-1.363983154E-1,1.204307556E1
1.155997974E1,1.603240967E-1,-9.834442139E-1,1.358406067E1
1.160997974E1,2.297058105E-1,-6.771697998E-1,9.846466064E0
1.165997974E1,1.040878296E0,-2.392883301E-1,7.992034912E0
1.170997974E1,3.541412354E-1,5.383911133E-1,7.807785034E0
1.175997974E1,-8.183441162E-1,4.115600586E-1,6.812362671E0
1.180997974E1,-4.450683594E-1,6.747741699E-1,8.090133667E0
1.185997974E1,6.963043213E-1,1.131805420E0,8.961120605E0
1.190997974E1,-1.268157959E-1,1.579284668E-1,1.280160522E1
1.195997974E1,8.590240479E-1,2.395629883E-3,1.390708923E1
1.200997974E1,-1.653442383E0,4.259185791E-1,1.158126831E1
1.205997974E1,1.675415039E-2,-8.327026367E-1,1.346919250E1
1.210997974E1,-9.308013916E-1,-9.451599121E-1,9.793823242E0
1.215997974E1,-1.316070557E-1,-9.809875488E-2,7.831710815E0
1.220997974E1,2.297058105E-1,3.325958252E-1,6.738189697E0
1.225997974E1,-5.670928955E-1,8.542327881E-1,7.853240967E0
1.230997974E1,-8.949127197E-1,1.342376709E0,8.630905151E0
1.235997974E1,-1.483612061E-1,1.375869751E0,9.803390503E0
1.240997974E1,-1.198806763E0,4.426727295E-1,1.235653687E1
1.245997974E1,-1.914978027E-2,1.962127686E-1,1.287817383E1
1.250997974E1,-8.518524170E-1,5.981445312E-2,1.394297791E1
1.255997974E1,3.014984131E-1,-8.231353760E-1,1.222732544E1
1.260997974E1,-2.895355225E-1,-1.004989624E0,8.913269043E0
1.265997974E1,5.886383057E-1,-2.488555908E-1,7.104293823E0
1.270997974E1,-5.431671143E-1,1.316070557E-1,8.063812256E0
1.275997974E1,-6.436767578E-1,8.805541992E-1,6.845870972E0
1.280997974E1,-8.709869385E-1,9.954071045E-1,7.951354980E0
1.285997974E1,3.349914551E-1,9.260253906E-1,1.017428589E1
1.290997974E1,-7.944183350E-1,4.187469482E-1,1.374197388E1
1.295997974E1,-4.067840576E-1,6.460571289E-2,1.378744507E1
1.300997974E1,-2.098510742E0,4.594268799E-1,1.229672241E1
1.305997974E1,-9.499511719E-1,1.435699463E-1,1.002832031E1
1.310997974E1,-1.663009644E0,-8.853454590E-1,1.053799438E1
1.315997974E1,-9.044799805E-1,-3.589172363E-1,8.827117920E0
1.320997974E1,-5.072784424E-1,2.153472900E-1,6.515655518E0
1.325997974E1,-1.342376709E0,2.751770020E-1,7.185653687E0
1.330997974E1,-1.701293945E0,8.111724854E-1,7.769500732E0
1.335997974E1,-1.919036865E0,1.112655640E0,1.000917053E1
1.340997974E1,-1.799407959E0,9.212341309E-1,1.192822266E1
1.345997974E1,-1.074371338E0,6.245269775E-1,1.299302673E1
1.350997974E1,-2.050643921E0,3.421783447E-1,1.323469543E1
1.355997974E1,-5.981445312E-2,-4.019927979E-1,1.180857849E1
1.360997974E1,-2.337783813E0,-1.631912231E0,1.105004883E1
1.365997974E1,-2.129669189E-1,-4.474639893E-1,7.331604004E0
1.370997974E1,-3.876342773E-1,-6.460571289E-2,8.063812256E0
1.375997974E1,-8.422698975E-1,1.100769043E-1,8.178665161E0
1.380997974E1,-6.101684570E-1,8.877410889E-1,7.046859741E0
1.385997974E1,-8.925170898E-1,1.012161255E0,8.465805054E0
1.390997974E1,2.679901123E-1,1.205978394E0,9.887145996E0
1.395997974E1,-1.064804077E0,7.896270752E-1,1.280638123E1
1.400997974E1,-4.809570312E-1,8.135528564E-1,1.376351929E1
1.405997974E1,-1.423736572E0,3.349304199E-2,1.253599548E1
1.410997974E1,-1.586441040E0,-5.766754150E-1,1.359840393E1
1.415997974E1,-1.306488037E0,-8.135986328E-2,6.790832520E0
1.420997974E1,-1.057632446E0,-4.761657715E-1,9.695724487E0
1.425997974E1,-1.512268066E0,-9.809875488E-2,6.941574097E0
1.430997974E1,-1.476364136E0,8.901367188E-1,6.977478027E0
1.435997974E1,-1.284942627E0,1.040878296E0,7.774276733E0
1.440997974E1,-7.872314453E-1,1.392623901E0,9.903900146E0
1.445997974E1,-1.119842529E0,9.379882812E-1,1.214596558E1
1.450997974E1,4.547119141E-2,1.028915405E0,1.220339966E1
1.455997974E1,-3.661041260E-1,-9.092712402E-2,1.165065002E1
1.460997974E1,-2.053039551E0,-1.612762451E0,1.592901611E1
1.465997974E1,2.632141113E-2,-5.718841553E-1,9.298507690E0
1.470997974E1,1.064804077E0,-2.488555908E-1,7.680953979E0
1.475997974E1,-1.196289062E-2,3.421783447E-1,7.554138184E0
1.480997974E1,-9.810638428E-1,6.484527588E-1,7.602005005E0
1.485997974E1,-6.723785400E-1,8.925170898E-1,7.731216431E0
1.490997974E1,7.656860352E-2,1.294509888E0,9.669403076E0
1.495997974E1,-4.761657715E-1,4.522399902E-1,1.087538147E1
1.500997974E1,8.614196777E-1,1.019348145E0,1.199043274E1
1.505997974E1,-4.905242920E-1,4.665985107E-1,1.395014954E1
1.510997974E1,-5.886383057E-1,8.255310059E-1,9.056838989E0
1.515997974E1,-2.203796387E0,-6.101684570E-1,1.079402161E1
1.520997974E1,-3.302154541E-1,-5.335998535E-1,9.827316284E0
1.525997974E1,-3.014984131E-1,-3.589172363E-1,7.848464966E0
1.530997974E1,-3.469543457E-1,9.567260742E-3,7.099502563E0
1.535997974E1,-5.192413330E-1,7.171630859E-3,8.551940918E0
1.540997974E1,6.652069092E-1,9.116668701E-1,8.618942261E0
1.545997974E1,-8.709869385E-1,5.001068115E-1,1.244506836E1
1.550997974E1,2.273254395E-1,1.914215088E-1,1.167457581E1
1.555997974E1,-1.119842529E0,-4.594268799E-1,1.274896240E1
1.560997974E1,1.971679688E0,-9.906311035E-1,1.102851868E1
1.565997974E1,-1.529006958E0,-2.254043579E0,1.291645813E1
1.570997974E1,1.117446899E0,-7.561340332E-1,9.107086182E0
1.575997974E1,1.055236816E0,-9.567260742E-3,8.183456421E0
1.580997974E1,-3.206329346E-1,1.244201660E-1,7.984848022E0
1.585997974E1,7.417755127E-1,2.967071533E-1,8.020736694E0
1.590997974E1,-3.134613037E-1,1.866455078E-1,8.664413452E0
1.595997974E1,1.196441650E-1,6.245269775E-1,1.079881287E1
1.600997974E1,-5.120697021E-1,3.876342773E-1,1.257667542E1
1.605997974E1,1.746826172E-1,3.589172363E-1,1.452204895E1
1.610997974E1,-3.637084961E-1,-7.393798828E-1,1.040159607E1
1.615997974E1,-1.406982422E0,-1.004989624E0,1.120797729E1
1.620997974E1,6.700134277E-2,-6.795654297E-1,8.779266357E0
1.625997974E1,-4.043884277E-1,-6.556396484E-1,8.595016479E0
1.630997974E1,-6.316986084E-1,-9.571838379E-2,7.908279419E0
1.635997974E1,-2.871398926E-1,5.479583740E-1,7.348358154E0
1.640997974E1,5.503845215E-2,9.331970215E-1,8.623733521E0
1.645997974E1,-3.302154541E-1,5.766754150E-1,1.095195007E1
1.650997974E1,4.307556152E-2,3.995971680E-1,1.082991028E1
1.655997974E1,-1.244201660E-1,3.995971680E-1,1.230389404E1
1.660997974E1,1.741973877E0,-8.422698975E-1,1.294517517E1
1.665997974E1,-4.618072510E-1,-1.457229614E0,1.326101685E1
1.670997974E1,1.057632446E0,1.914978027E-2,6.235702515E0
1.675997974E1,2.201385498E-1,2.057800293E-1,9.133407593E0
1.680997974E1,5.981445312E-2,7.872314453E-1,7.070785522E0
1.685997974E1,-9.212341309E-1,7.704925537E-1,8.044662476E0
1.690997974E1,8.494567871E-1,1.430908203E0,9.104690552E0
1.695997974E1,0.000000000E0,5.240325928E-1,1.206700134E1
1.700997974E1,6.412811279E-1,3.373870850E-1,1.311744690E1
1.705997974E1,-6.556396484E-1,6.963043213E-1,1.193539429E1
1.710997974E1,1.182052612E0,-6.867370605E-1,1.289013672E1
1.715997974E1,-1.476364136E0,-6.484527588E-1,9.607177734E0
1.720997974E1,-3.349914551E-1,-3.349304199E-2,8.080566406E0
1.725997974E1,-1.045669556E0,-1.268157959E-1,8.379669189E0
1.730997974E1,-6.293182373E-1,6.245269775E-1,7.680953979E0
1.735997974E1,-9.930267334E-1,1.002593994E0,7.757537842E0
1.740997974E1,-5.264282227E-1,1.201202393E0,9.186050415E0
1.745997974E1,-4.139556885E-1,5.288085938E-1,1.160997009E1
1.750997974E1,2.703857422E-1,4.115600586E-1,1.154058838E1
1.755997974E1,-8.111724854E-1,8.087768555E-1,1.268196106E1
1.760997974E1,2.900100708E0,7.226257324E-1,1.026042175E1
1.765997974E1,-7.010955811E-1,-1.115051270E0,1.297627258E1
1.770997974E1,-2.608184814E-1,-4.355010986E-1,8.154739380E0
1.775997974E1,-3.828430176E-2,1.938171387E-1,9.272186279E0
1.780997974E1,-2.895355225E-1,1.009765625E0,7.202392578E0
1.785997974E1,-8.590240479E-1,1.320831299E0,7.247863770E0
1.790997974E1,-2.464599609E-1,1.363906860E0,8.822341919E0
1.795997974E1,4.163513184E-1,1.117446899E0,1.084187317E1
1.800997974E1,6.604156494E-1,6.364898682E-1,1.395733643E1
1.805997974E1,-1.435852051E-2,1.246658325E0,1.253359985E1
1.810997974E1,-1.914978027E-2,-3.517456055E-1,1.160279846E1
1.815997974E1,-7.680969238E-1,-3.062744141E-1,1.016949463E1
1.820997974E1,-2.153015137E-2,-1.387786865E-1,7.948959351E0
1.825997974E1,-2.871398926E-1,-3.278198242E-1,9.011367798E0
1.830997974E1,-2.081756592E-1,6.316986084E-1,6.254837036E0
1.835997974E1,-1.196411133E0,6.029968262E-1,9.248260498E0
1.840997974E1,2.656097412E-1,9.810638428E-1,9.305694580E0
1.845997974E1,-6.197357178E-1,4.546356201E-1,1.247138977E1
1.850997974E1,4.091796875E-1,6.340942383E-1,1.198086548E1
1.855997974E1,-6.747741699E-1,6.939239502E-1,1.222492981E1
1.860997974E1,1.464401245E0,-1.124572754E-1,1.168893433E1
1.865997974E1,-1.308868408E0,-1.079162598E0,1.217228699E1
1.870997974E1,2.043472290E0,1.076812744E-1,7.642669678E0
1.875997974E1,-1.268157959E-1,-1.363983154E-1,9.064010620E0
